time,WMA_daily_5_close,Company
2024-10-16,116.6407,ABT
2024-10-15,115.9538,ABT
2024-10-14,115.7262,ABT
2024-10-11,115.0249,ABT
2024-10-10,114.4675,ABT
2024-10-09,113.8511,ABT
2024-10-08,112.9719,ABT
2024-10-07,112.4597,ABT
2024-10-04,112.4119,ABT
2024-10-03,112.5891,ABT
2024-10-02,112.9354,ABT
2024-10-01,112.7457,ABT
2024-09-30,112.5678,ABT
2024-09-27,112.2938,ABT
2024-09-26,112.6282,ABT
2024-09-25,112.9573,ABT
2024-09-24,113.4769,ABT
2024-09-23,114.072,ABT
2024-09-20,114.3666,ABT
2024-09-19,115.2087,ABT
2024-09-18,116.0792,ABT
2024-09-17,116.8217,ABT
2024-09-16,116.4183,ABT
2024-09-13,116.1011,ABT
2024-09-12,116.0235,ABT
2024-09-11,115.5557,ABT
2024-09-10,115.0182,ABT
2024-09-09,114.149,ABT
2024-09-06,113.2957,ABT
2024-09-05,113.2221,ABT
2024-09-04,113.3873,ABT
2024-09-03,113.035,ABT
2024-08-30,112.4663,ABT
2024-08-29,112.3203,ABT
2024-08-28,112.2998,ABT
2024-08-27,112.1326,ABT
2024-08-26,111.7444,ABT
2024-08-23,111.4359,ABT
2024-08-22,111.0185,ABT
2024-08-21,110.7199,ABT
2024-08-20,110.5574,ABT
2024-08-19,110.4326,ABT
2024-08-16,109.6609,ABT
2024-08-15,109.0359,ABT
2024-08-14,108.3525,ABT
2024-08-13,108.0207,ABT
2024-08-12,108.32,ABT
2024-08-09,108.8203,ABT
2024-08-08,109.1912,ABT
2024-08-07,109.2396,ABT
2024-08-06,108.9629,ABT
2024-08-05,108.5549,ABT
2024-08-02,108.1793,ABT
2024-08-01,106.5119,ABT
2024-07-31,104.9513,ABT
2024-07-30,104.875,ABT
2024-07-29,104.9115,ABT
2024-07-26,105.0607,ABT
2024-07-25,104.8411,ABT
2024-07-24,103.9918,ABT
2024-07-23,102.54,ABT
2024-07-22,102.1167,ABT
2024-07-19,101.7093,ABT
2024-07-18,101.9711,ABT
2024-07-17,103.1192,ABT
2024-07-16,102.5934,ABT
2024-07-15,102.6103,ABT
2024-07-12,102.4559,ABT
2024-07-11,102.0539,ABT
2024-07-10,101.5431,ABT
2024-07-09,101.415,ABT
2024-07-08,101.8553,ABT
2024-07-05,102.2552,ABT
2024-07-03,102.0698,ABT
2024-07-02,102.6103,ABT
2024-07-01,103.0149,ABT
2024-06-28,103.5581,ABT
2024-06-27,103.9864,ABT
2024-06-26,104.2972,ABT
2024-06-25,104.4735,ABT
2024-06-24,104.3137,ABT
2024-06-21,104.1098,ABT
2024-06-20,103.6175,ABT
2024-06-18,102.7001,ABT
2024-06-17,102.7542,ABT
2024-06-14,103.2531,ABT
2024-06-13,103.9336,ABT
2024-06-12,104.7441,ABT
2024-06-11,105.1717,ABT
2024-06-10,104.9704,ABT
2024-06-07,103.9098,ABT
2024-06-06,102.4638,ABT
2024-06-05,101.943,ABT
2024-06-04,101.6005,ABT
2024-06-03,101.0943,ABT
2024-05-31,100.8441,ABT
2024-05-30,100.953,ABT
2024-05-29,101.4137,ABT
2024-05-28,102.3549,ABT
2024-05-24,102.9766,ABT
2024-05-23,102.9476,ABT
2024-05-22,102.8684,ABT
2024-05-21,102.5793,ABT
2024-05-20,102.9733,ABT
2024-05-17,103.3878,ABT
2024-05-16,103.5548,ABT
2024-05-15,103.4511,ABT
2024-05-14,103.463,ABT
2024-05-13,103.8089,ABT
2024-05-10,103.9613,ABT
2024-05-09,104.2002,ABT
2024-05-08,104.5447,ABT
2024-05-07,104.8893,ABT
2024-05-06,104.8147,ABT
2024-05-03,105.0226,ABT
2024-05-02,105.2523,ABT
2024-05-01,105.5374,ABT
2024-04-30,105.74,ABT
2024-04-29,106.1551,ABT
2024-04-26,106.1281,ABT
2024-04-25,105.9987,ABT
2024-04-24,105.9855,ABT
2024-04-23,105.8971,ABT
2024-04-22,105.6846,ABT
2024-04-19,105.7638,ABT
2024-04-18,105.8944,ABT
2024-04-17,107.0594,ABT
2024-04-16,108.3275,ABT
2024-04-15,108.6792,ABT
2024-04-12,109.2076,ABT
2024-04-11,109.7644,ABT
2024-04-10,109.6456,ABT
2024-04-09,109.6259,ABT
2024-04-08,109.1616,ABT
2024-04-05,109.4308,ABT
2024-04-04,109.6384,ABT
2024-04-03,110.4251,ABT
2024-04-02,110.8421,ABT
2024-04-01,110.8841,ABT
2024-03-28,110.8033,ABT
2024-03-27,110.0659,ABT
2024-03-26,109.2575,ABT
2024-03-25,109.2082,ABT
2024-03-22,109.8078,ABT
2024-03-21,110.5466,ABT
2024-03-20,111.4587,ABT
