time,WMA_daily_5_close,Company,WMA_daily_10_close,"FAMA_MAMA_daily_close_(0.1, 0.1)","MAMA_daily_close_(0.1, 0.1)","FAMA_MAMA_daily_close_(0.25, 0.25)","MAMA_daily_close_(0.25, 0.25)"
2009-11-18,18.3897,ABT,18.3247,17.1462,17.9923,17.9306,18.296
2009-11-19,18.3552,ABT,18.3356,17.1899,18.0211,17.9758,18.2921
2009-11-20,18.4052,ABT,18.3808,17.234,18.0705,18.0223,18.3478
2009-11-23,18.3805,ABT,18.3808,17.2771,18.0973,18.0627,18.3456
2009-11-24,18.4951,ABT,18.4455,17.3213,18.1598,18.1098,18.4397
2009-11-25,18.6079,ABT,18.5118,17.3663,18.2219,18.1617,18.5249
2009-11-27,18.6544,ABT,18.5502,17.4113,18.2664,18.2115,18.5604
2009-11-30,18.7223,ABT,18.609,17.4568,18.3206,18.2629,18.6224
2009-12-01,18.7694,ABT,18.6575,17.5024,18.369,18.3135,18.668
2009-12-02,18.7809,ABT,18.6982,17.5478,18.4112,18.3617,18.6988
2009-12-03,18.7648,ABT,18.7192,17.5925,18.4423,18.4045,18.7046
2009-12-04,18.6997,ABT,18.7047,17.6356,18.4544,18.4376,18.6693
2009-12-07,18.6277,ABT,18.6775,17.6769,18.4611,18.462,18.6324
2009-12-08,18.5264,ABT,18.6239,17.7157,18.4527,18.4753,18.5685
2009-12-09,18.4963,ABT,18.5927,17.7528,18.4579,18.485,18.5525
2009-12-10,18.5382,ABT,18.5944,17.7891,18.4784,18.4969,18.5802
2009-12-11,18.5494,ABT,18.5794,17.824,18.4866,18.5066,18.5751
2009-12-14,18.5621,ABT,18.567,17.8575,18.4942,18.5148,18.5722
2009-12-15,18.5962,ABT,18.5722,17.89,18.5084,18.524,18.5881
2009-12-16,18.6003,ABT,18.5736,17.9214,18.5173,18.5323,18.5905
2009-12-17,18.5637,ABT,18.5597,17.9511,18.515,18.5366,18.5664
2009-12-18,18.5108,ABT,18.5348,17.9787,18.5047,18.5354,18.5277
2009-12-21,18.5345,ABT,18.5491,18.0056,18.5153,18.5371,18.5486
2009-12-22,18.578,ABT,18.5744,18.0319,18.5319,18.5427,18.5816
2009-12-23,18.615,ABT,18.5922,18.0576,18.5457,18.5503,18.6038
2009-12-24,18.6541,ABT,18.6108,18.0827,18.5602,18.5597,18.6256
